Max_achat;Date;CODE;  desc;Nom du demandeur;Resposable;Type;Description;fournisseur;Quantité; P.U ;Montant;service;Agence;observation;FA N°;Colonne1
45657Prod0068;31/12/2024;Prod0068;Frais transport de fonds;SUZY;NONLA;Prestation ;0;BRINKS;1;974 640,00;974 640,00;DAMG;Siège;Tranfère de fonds de siège dec 24;27091224;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;TELMA;1;32 192 000,00;32 192 000,00;DSI;Siège;Connexion internet siège janv25;6876652;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;TELMA;1;744 000,00;744 000,00;DSI;Siège;SMPP Relay janv25;F2501522457;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;TELMA;1;5 700 000,00;5 700 000,00;DSI;Siège;Interco Agence Tamatave Janv25;6838325;
45658Prod0025;01/01/2025;Prod0025;Liaison louée internationale;NALI AIME;NALI AIME;Prestation Telma;0;TELMA;1;29 254 080,00;29 254 080,00;DSI;AFG COMORES;LLI AFG BANK COMORES janv25;FC SIE24024729B;
45658Prod0025;01/01/2025;Prod0025;Liaison louée internationale;NALI AIME;NALI AIME;Prestation Telma;0;TELMA;1;55 582 752,00;55 582 752,00;DSI;AFG COMORES;LLI AFG BANK MADA janv25;FC SIE24024729A;
45658prod0098;01/01/2025;prod0098;abonnement envoi sms de AFG Bank;NALI AIME;NALI AIME;prestation;0;TELMA;1;390 631,00;390 631,00;DSI;Siège;Abonnement SMS Connect janv25;F2501527609;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;TELMA;1;1 184 690,00;1 184 690,00;DSI;Siège;Connexion TPE ;F2501525340;
45658Prod0048;01/01/2025;Prod0048;Abonnement flotte mobile ;NONLA;NONLA;Prestation Telma;0;TELMA;1;9 428 366,00;9 428 366,00;DAMG;Siège;Abonnement flotte Telma mobile janv25;F2501522365;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NONLA;NONLA;internet;0;TELMA;1;124 500,00;124 500,00;DAMG;Siège;Connexion FO Nonla Kone ;6876934;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NONLA;NONLA;internet;0;TELMA;1;124 500,00;124 500,00;DAMG;SCM;Connexion FO Edgard SIGUI;6863973;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NONLA;NONLA;internet;0;TELMA;1;124 500,00;124 500,00;DAMG;AFG OI;Connexion FO Gervais ATTA;6874316;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NONLA;NONLA;internet;0;TELMA;1;124 500,00;124 500,00;DAMG;Siège;Connexion FO SG Sophie;F2501522579;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NONLA;NONLA;internet;0;TELMA;1;124 500,00;124 500,00;DAMG;Siège;Connexion FO DGA Siège;F2501527793;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NONLA;NONLA;internet;0;TELMA;1;350 500,00;350 500,00;DAMG;Siège;Connexion FO DG Ina + frais de transfert à Ambatobe;F2501526874;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NONLA;NONLA;internet;0;TELMA;1;1 336 000,00;1 336 000,00;DAMG;AFG ASSUR;Connexion internet AFG ASSUR Janv25;F25015227926;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;TELMA;1;1 510 967,00;1 510 967,00;DSI;GAB Analamahitsy;Frais d'installation+ frais interco GAB Analamahitsy dec 25 et janv25;6877420;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;TELMA;1;170 322,58;170 322,58;DSI;GAB Analamahitsy;Frais interco GAB Analamahitsy prorata dec25;6834828;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;GULFSAT Madagascar;1;6 600 000,00;6 600 000,00;DSI;Siège;Interco BFM-AFG bank janv25;605856/010125;
45658Prod0053;01/01/2025;Prod0053;Abonnement puce Orange;STEEV;STEEV;Prestation ;0;ORANGE;1;168 661,92;168 661,92;DMC;Siège;Abonnement puce orange CRC dec24;1550329;
45658prod0101;01/01/2025;prod0101;Loyer GAB BUT ;NONLA;NONLA;Prestation;0;SIRR;1;750 000,00;750 000,00;DAMG;Siège;Loyer mois de janv25 du local GAB BUT La City;FA2500076;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;AIRTEL;1;921 456,00;921 456,00;DSI;Siège;Interco GAB BUT Tamatave dec24;PE6501979600;
45658Prod0055;01/01/2025;Prod0055; Connexion internet;NALI AIME;NALI AIME;internet;0;AIRTEL;1;30 275 532,00;30 275 532,00;DSI;Siège;Internet back-up siège pour le mois de janvier25;CX/FM/25/0053;
45658Prod0075;01/01/2025;Prod0075; SIP Trunk (tel fixe sortant);NALI AIME;NALI AIME;Prestation;0;AIRTEL;1;415 800,00;415 800,00;DSI;Siège;Mensuliaté SIP TRUNK Dec24;9,50E+14;
45658Prod0075;01/01/2025;Prod0075; SIP Trunk (tel fixe sortant);NALI AIME;NALI AIME;Prestation;0;AIRTEL;1;35 557,55;35 557,55;DSI;Siège;Consommation appel extérieure dec24;9,50E+14;
45658Prod0018;01/01/2025;Prod0018;Abonnement Refinitiv;Daniel ;Daniel;Prestation;0;REFINITIV;1;38 729 967,75;38 729 967,75;DO;Siège;Abonnement refinitiv pour le 01 jan au 31 Mars 2025 montant GBP 6462,09 ;902282728;
45658Prod0014;01/01/2025;Prod0014;Jirama eau et éléctricité;SUZY;NONLA;Prestation;0;SIRR;1;184 692,02;184 692,02;DAMG;GAB BUT;électricité GAB BUT NOV 24 refacturation;FA2500077;
45659Prod0028;02/01/2025;Prod0028;Loyer Andranomena;NONLA;NONLA;Prestation;0;SIYAN;1;18 863 150,18;18 863 150,18;DAMG;Siège;Loyer de local Andranomena pour le mois de Janvier 2025;PSI-0000944;
45659Prod0021;02/01/2025;Prod0021;Location véhicule;SUZY;NONLA;Transport;0;MBAC;1;1 100 000,00;1 100 000,00;DAMG;Siège;Location de voiture KIA Pride;20250102-24AFG;
45659Prod0021;02/01/2025;Prod0021;Location véhicule;SUZY;NONLA;Transport;0;MBAC;1;7 750 000,00;7 750 000,00;DAMG;Siège;Location de voiture KIA Sorento ;20250102-22AFG;
45660prod0110;03/01/2025;prod0110;loyer digital corner analamahitsy;NONLA;NONLA;prestation;0;DTM Sarl;1;2 284 590,00;2 284 590,00;DAMG;Siège;Loyer GAB Bali Tower Analamahitsy janv25;BT-DTM/FAC/bd/002/2025;
45661Prod0064;04/01/2025;Prod0064;Loyer Colbert;NONLA;NONLA;Prestation ;0;HOTEL COLBERT;1;16 623 360,00;16 623 360,00;DAMG;Agence Colbert;Loyer Agence Colbert Janv25;76122;
45665prod0102;08/01/2025;prod0102;location imprimante 1er etage;NONLA;NONLA;prestation;0;SODIM;1;667 561,20;667 561,20;DAMG;Siège;location imprimante 1ere étage dec24;F827601;
45665prod0103;08/01/2025;prod0103;location imprimante agence RDC;NONLA;NONLA;prestation;0;SODIM;1;744 189,60;744 189,60;DAMG;Siège;location imprimante RDC Ivandry dec24;F827602;
45665prod0104;08/01/2025;prod0104;location imprimante 6em etage déplacé 2 ème ;NONLA;NONLA;prestation;0;SODIM;1;622 416,00;622 416,00;DAMG;Siège;location imprimante 6eme etage dec24;F827603;
45665prod0105;08/01/2025;prod0105;location imprimante agence Tamatave;NONLA;NONLA;prestation;0;SODIM;1;622 473,60;622 473,60;DAMG;Agence Tamatave;location imprimante Tamatave dec24;F827604;
45665Prod0006;08/01/2025;Prod0006;Cantine personnel AFG;NONLA;NONLA;Prestation de cantine;0;FRESH DELIVERY;1;6 980 000,00;6 980 000,00;DAMG;Siège;Cantine du personnel dec24;014/24/BQ;
45667Prod0014;10/01/2025;Prod0014;Jirama eau et éléctricité;NONLA;NONLA;Prestation;0;JIRAMA;1;1 290 736,09;1 290 736,09;DAMG;Agence Andranomena;Jirama électricité Andranomena dec24;25664289240;
45667Prod0004;10/01/2025;Prod0004;Billet d'avion ;SUZY;NONLA;Agence de voyage;0;BLUEBERRY TRAVEL;1;1 390 800,00;1 390 800,00;DAMG;Siège;Billet d'avion de DG Gervais pour sa mission à Tamatave du 18/0 au 24/01/2025;ITI00062766;
45667Prod0004;10/01/2025;Prod0004;Billet d'avion ;SUZY;NONLA;Agence de voyage;0;BLUEBERRY TRAVEL;1;1 390 800,00;1 390 800,00;DAMG;Siège;Billet d'avion DG Gervais;ITI00062766;
45669Prod0014;12/01/2025;Prod0014;Jirama eau et éléctricité;SUZY;NONLA;Prestation;0;JIRAMA;1;1 258 726,93;1 258 726,93;DAMG;Siège;Jirama Andranomena mois de Janvier 2025;2,56E+14;
45670Prod0001;13/01/2025;Prod0001;prestation ménage;NONLA;NONLA;prestation ménage;0;RAO;1;5 600 000,00;5 600 000,00;DAMG;Siège;Ménage du siège AFGBank Mada mois de Janv25;241A/01/2025;
45670Prod0003;13/01/2025;Prod0003;Assurance flotte automobile;NONLA;NONLA;Assurance;0;AFG ASSUR Madagascar;1;3 916 724,00;3 916 724,00;DAMG;Siège;Incorporation assurance multi-risque de la voiture de Daniel 4436TCB;301405-2-012025;
45670CONS0014;13/01/2025;CONS0014;Encre HP106A Noir;SUZY;NONLA;Consommable;0;Touskinfo;5;230 000,00;1 150 000,00;DAMG;Siège;Achat toner 106 A ;CONS1044/25;
45670Prod0004;13/01/2025;Prod0004;Billet d'avion ;SUZY;NONLA;Agence de voyage;0;BLUEBERRY TRAVEL;1;1 540 800,00;1 540 800,00;DAMG;Siège;Billet d'avion SG;ITI00062827;
45671Prod0004;14/01/2025;Prod0004;Billet d'avion ;SUZY;NONLA;Agence de voyage;0;BLUEBERRY TRAVEL;1;253 200,00;253 200,00;DAMG;Siège;Frais de modification de billet DGGervais pour sa mission à Tamatave du 19/01/2025 au lieu de 18/01/2025;ITI00062883;
45671Prod0038;14/01/2025;Prod0038;Envoi courrier et colis ;SUZY;NONLA;Prestation;0;DHL Express;1;300 821,00;300 821,00;DAMG;Siège;Courrier du client Honest Distribution;TNRR000156701;
45671Prod0004;14/01/2025;Prod0004;Billet d'avion ;SUZY;NONLA;Agence de voyage;0;SILVER WINGS;1;2 762 040,00;2 762 040,00;DAMG;Siège;Billet d'avion DG Ina et Sarah;FA-2025-00000008;
45671Prod0004;14/01/2025;Prod0004;Billet d'avion ;SUZY;NONLA;Agence de voyage;0;BLUEBERRY TRAVEL;1;253 200,00;253 200,00;DAMG;Siège;Modification billet DG Gervais;ITI00062883;
45671DIV0013;14/01/2025;DIV0013;Recharge Bonbonne d'eau;SUZY;NONLA;Divers;0;WIDISTRI;12;22 000,00;264 000,00;DAMG;Siège;Recharge bonbonne d'eau du 14/01/2025;CPT10310125;
45673Prod0007;16/01/2025;Prod0007;Mise à disposition intérimaires ;SUZY;NONLA;Prestation interimaires;0;EQUITY TRADE (IABI job service);1;19 557 271,00;19 557 271,00;DAMG;Siège;Prestation Janvier 2025;F.2025.001;
45674Prod0004;17/01/2025;Prod0004;Billet d'avion ;CATHY;cathy;Agence de voyage;0;SILVER WINGS;1;6 065 800,00;6 065 800,00;DAMG;Siège;Billet d'avion Cathy pour le sémianire Marketing TNR-ABJ-TNR ;FA-2025-00000018;
45676IMP0015;19/01/2025;IMP0015;Roll up;CATHY;CATHY;Travaux d'impressions et publicité;0;FUSION GIFT;1;100 000,00;100 000,00;DMC;Siège;Achat roll-up 01 unité;EF/011444;
45677Prod0040;20/01/2025;Prod0040;Sécurisation et gardienage;MARIA;NONLA;Prestation;0;SSSM;1;11 668 320,00;11 668 320,00;DAMG;Siège;Sécurité et gardiennage siège+digital corner siège+local andranomena janv25;57718/A;
45677Prod0040;20/01/2025;Prod0040;Sécurisation et gardienage;MARIA;NONLA;Prestation;0;SSSM;1;6 482 400,00;6 482 400,00;DAMG;Agence Tamatave;Sécurité et gardiennage Agence Tamatave Janv25;39113/T;
45677Prod0040;20/01/2025;Prod0040;Sécurisation et gardienage;MARIA;NONLA;Prestation;0;SSSM;1;11 135 556,00;11 135 556,00;DAMG;Siège;Sécurité et gardiennagerésidence COMEX et DG Gervais Janv25;57723/A;
45677Prod0040;20/01/2025;Prod0040;Sécurisation et gardienage;MARIA;NONLA;Prestation;0;SSSM;1;8 029 440,00;8 029 440,00;DAMG;Siège;Sécurité et gardiennage des GAB hors sites dec24 (toatl Ankadimbahoaka) + Janv25;57721/A;
45677Prod0001;20/01/2025;Prod0001;prestation ménage;MARIA;NONLA;prestation ménage;0;PRONET ;1;1 300 000,00;1 300 000,00;DAMG;Agence Tamatave;Ménage de l'agence Tamatave pour le mois de Janvier25;029/25-NA;
45677DIV0013;20/01/2025;DIV0013;Recharge Bonbonne d'eau;SUZY;NONLA;Divers;0;WIDISTRI;15;22 000,00;330 000,00;DAMG;Siège;Recharge de 15 bonbonnes d'eau pour la semaine du 20/01/25 au 24/01/25 siège;CPT17390125;
45677Prod0021;20/01/2025;Prod0021;Location véhicule;SUZY;NONLA;Transport;0;MBAC;1;1 000 000,00;1 000 000,00;DAMG;Siège;Location de vehicules KIA du 01/01/25 au 14/01/2025;20250120-25AFG;
45677Prod0021;20/01/2025;Prod0021;Location véhicule;SUZY;NONLA;Transport;0;MBAC;1;1 100 000,00;1 100 000,00;DAMG;Siège;Location de vehicules KIA du 15/01/25 au 31/01/2025;20250131-25AFG;
45677Prod0021;20/01/2025;Prod0021;Location véhicule;SUZY;NONLA;Transport;0;MBAC;1;7 750 000,00;7 750 000,00;DAMG;Siège;Location de vehicules KIA du 15/01/25 au 31/01/2025;20250131-27AFG;
45678DIV0013;21/01/2025;DIV0013;Recharge Bonbonne d'eau;SUZY;NONLA;Divers;0;WIDISTRI;15;22 000,00;330 000,00;DAMG;Siège;Recharge bonbonne d'eau du 21/01/2025;CPT17390125;
45679Prod0086;22/01/2025;Prod0086;FortiGate Firewall;NALI AIME;NALI AIME;Prestation;0;GO TECH;1;28 140 000,00;28 140 000,00;DSI;Siège;Achat de firewall avec licence1 an pour nos besoin en 2025;#FGT-1410;
45679Prod0004;22/01/2025;Prod0004;Billet d'avion ;SUZY;NONLA;Agence de voyage;0;BLUEBERRY TRAVEL;1;8 991 400,00;8 991 400,00;DAMG;Siège;Billet d'avion Patrick AKA et Lassine KONe Mission Agency Banking du 26/01/25 au 06/02/2025;ITI00063359;
45679FNR0024;22/01/2025;FNR0024;Chemises dossiers assortis;SUZY;NONLA;Fournitures de bureau;0;CHANDARANA;2;116 667,00;233 334,00;DAMG;Siège;Achat chemise dossiers assorti;CC1/23874;
45679CONS0007;22/01/2025;CONS0007;Pile AAA;SUZY;NONLA;Consommable;0;CHANDARANA;100;1 600,20;160 020,00;DAMG;Siège;Achat pile AAA LR03 2;CC1/23874;
45679FNR0030;22/01/2025;FNR0030;Agrafeuse ;SUZY;NONLA;Fournitures de bureau;0;CHANDARANA;20;6 833,00;136 660,00;DAMG;Siège;Achat agrafeuse;CC1/23874;
45679FNR0007;22/01/2025;FNR0007;Crayon de bois;SUZY;NONLA;Fournitures de bureau;0;CHANDARANA;1;3 750,00;3 750,00;DAMG;Siège;Achat crayon HB Jaune;CC1/23874;
45679FNR0037;22/01/2025;FNR0037;Scotch transparent 18*33;SUZY;NONLA;Fournitures de bureau;0;CHANDARANA;1;4 000,00;4 000,00;DAMG;Siège;Achat scotch 18*33 Trans;CC1/23874;
45679FNR0056;22/01/2025;FNR0056;Chamoisine jaune;SUZY;NONLA;Fournitures de bureau;0;CHANDARANA;10;875;8 750,00;DAMG;Siège;Achat chamoisine jaune;CC1/23874;
45679FNR0026;22/01/2025;FNR0026;Chemises à sangle FRAFT 24*32;SUZY;NONLA;Fournitures de bureau;0;CHANDARANA;5;5 417,00;27 085,00;DAMG;Siège;Achat chemise à sangle KRAFT;CC1/23874;
45679FNR0065;22/01/2025;FNR0065;Paper Board;SUZY;NONLA;Fournitures de bureau;0;CHANDARANA;3;22 083,00;66 249,00;DAMG;Siège;Achat Paper Board;CC1/23874;
45679IMP0002;22/01/2025;IMP0002;Carte de visite;SUZY;NONLA;Travaux d'impressions et publicité;0;FOCUSPRINT (FOCUS GROUP);800;486;388 800,00;DAMG;Siège;Achat carte de visite;15210/fp/25;
45680Prod0004;23/01/2025;Prod0004;Billet d'avion ;SUZY;NONLA;Agence de voyage;0;BLUEBERRY TRAVEL;1;7 895 700,00;7 895 700,00;M. Generaux;Siège;Billet d'avion de Haitham MECHMACH collaborateur PAYLOGIC mission Agency Banking;ITI00063422;
45680Prod0004;23/01/2025;Prod0004;Billet d'avion ;SUZY;NONLA;Agence de voyage;0;BLUEBERRY TRAVEL;1;1 540 800,00;1 540 800,00;M. Generaux;Siège;billet d'avion SG Sophie TMM-TNR-TMM janvier2025;ITI00062827;
45680Prod0004;23/01/2025;Prod0004;Billet d'avion ;SUZY;NONLA;Agence de voyage;0;BLUEBERRY TRAVEL;1;7 895 700,00;7 895 700,00;DAMG;Siège;Billet d'avion Mechmach;ITI00063422;
45680Prod0038;23/01/2025;Prod0038;Transfert de GAB;SUZY;NONLA;Prestation;0;Madagascar Express;1;440 000,00;440 000,00;DAMG;Siège;Frais de transfert de GAB depuis Andranomena à Ankadimbahoaka ;NAT25/00023;
45680Prod0091;23/01/2025;Prod0091;Transfert de GAB;SUZY;NONLA;Prestation;0;Madagascar Express;1;440 000,00;440 000,00;DAMG;Siège;Frais de transfert de GAB depuis siège à Andranomena ;NAT25/00023;
45681FNR0014;24/01/2025;FNR0014;Parapheur 24 volets;SUZY;NONLA;Fournitures de bureau;0;M&G Stationnery;10;12 150,00;121 500,00;DAMG;Siège;Achat parapheur 24 volet;2,03E+11;
45681FNR0024;24/01/2025;FNR0024;Chemises dossiers assortis;SUZY;NONLA;Fournitures de bureau;0;OFFICE TRADING;1000;240;240 000,00;DAMG;Siège;Achat de fourniture mois de Fev 25;FAOFT/2025/00125;
45681FNR0057;24/01/2025;FNR0057;Carton d'archive dos 15;SUZY;NONLA;Fournitures de bureau;0;OFFICE TRADING;100;3 500,00;350 000,40;DAMG;Siège;Achat de fourniture mois de Fev 25;FAOFT/2025/00125;
45681FNR0028;24/01/2025;FNR0028;Enveloppe KRAFT A4 22*32;SUZY;NONLA;Fournitures de bureau;0;OFFICE TRADING;500;214;107 000,04;DAMG;Siège;Achat de fourniture mois de Fev 25;FAOFT/2025/00125;
45681FNR0055;24/01/2025;FNR0055;Post it 75*75;SUZY;NONLA;Fournitures de bureau;0;OFFICE TRADING;50;1 950,00;97 500,00;DAMG;Siège;Achat de fourniture mois de Fev 25;FAOFT/2025/00125;
45681FNR0032;24/01/2025;FNR0032;Arrache agrafes;SUZY;NONLA;Fournitures de bureau;0;OFFICE TRADING;20;1 700,00;34 000,08;DAMG;Siège;Achat de fourniture mois de Fev 25;FAOFT/2025/00125;
45681FNR0015;24/01/2025;FNR0015;Pot stylos pour bureau;SUZY;NONLA;Fournitures de bureau;0;OFFICE TRADING;15;6 000,00;90 000,00;DAMG;Siège;Achat de fourniture mois de Fev 25;FAOFT/2025/00125;
45681FNR0019;24/01/2025;FNR0019;Elastique 250grs;SUZY;NONLA;Fournitures de bureau;0;OFFICE TRADING;25;6 500,00;162 500,10;DAMG;Siège;Achat de fourniture mois de Fev 25;FAOFT/2025/00125;
45681FNR0074;24/01/2025;FNR0074;Protège documents 100 vues;SUZY;NONLA;Fournitures de bureau;0;OFFICE TRADING;10;9 000,00;90 000,00;DAMG;Siège;Achat de fourniture mois de Fev 25;FAOFT/2025/00125;
45683IMP0060;26/01/2025;IMP0060;Boost page;CATHY;CATHY;Travaux d'impressions et publicité;0;RESEAUX SOCIAUX;1;300 000,00;300 000,00;DMC;Siège;Boost mensuel de nos page facebook et Linkedin à raison de 4 boosts par mois;;
45684Prod0004;27/01/2025;Prod0004;Billet d'avion ;SUZY;NONLA;Agence de voyage;0;BLUEBERRY TRAVEL;1;6 025 800,00;6 025 800,00;DAMG;Siège;Billet d'avion Nonla Kone pour son retour de Abidjan le 31/01/2025;ITI00063597;
45684Prod0009;27/01/2025;Prod0009;Hébergement missionnaires;SUZY;NONLA;Hébergement;0;Marina Beach;1;3 476 000,00;3 476 000,00;DAMG;Siège;Hebergement DG Ina /Sophie et Sarah;11206;
45684FNR0038;27/01/2025;FNR0038;Scotch pour carton 48*100;SUZY;NONLA;Fournitures de bureau;0;SODIM;10;5 232,60;52 326,00;DAMG;Siège;fournitures de bureau Janv 25;F828689;
45684FNR0046;27/01/2025;FNR0046;Papier photocopie A4;SUZY;NONLA;Fournitures de bureau;0;SODIM;60;21 888,00;1 313 280,00;DAMG;Siège;fournitures de bureau Janv 25;F828689;
45684FNR0046;27/01/2025;FNR0046;Papier photocopie A4;SUZY;NONLA;Fournitures de bureau;0;SODIM;15;4 993,20;74 898,00;DAMG;Siège;fournitures de bureau Janv 25;F828689;
45684FNR0063;27/01/2025;FNR0063;bloc cube avec support;SUZY;NONLA;Fournitures de bureau;0;SODIM;10;7 239,00;72 390,00;DAMG;Siège;fournitures de bureau Janv 25;F828689;
45684CONS0019;27/01/2025;CONS0019;Encre à tampon;SUZY;NONLA;Consommable;0;SODIM;3;1 447,80;4 343,40;DAMG;Siège;fournitures de bureau Janv 25;F828689;
45684EV008;27/01/2025;EV008;Entretien véhicule 15000km;SUZY;NONLA;Entretien véhicule ;0;BAMADA;1;563 701,00;563 701,00;DAMG;Siège;Entretien 15000km de la voiture 4429tcb;2025/99;
